order,species,specimen no.,fL,fPW,fDW,fCr-Ca,fM-L,tbL,tbPW,tbDW,tbCr-Ca,tbM-L,tmtL,tmtD-P,tmtM-L
Dinornithiformes,Dinornis novaezealandiae,MNZ S240,261,80,91,,38,471,110,68,,34,,,
Dinornithiformes,Dinornis novaezealandiae,B. Reeve,,,,,,477,116,67,,37.5,247,,33.5
Dinornithiformes,Dinornis robustus,MNZ S28075,280,95,108,,40.5,567,128,73,,38.5,290,,36
Dinornithiformes,Dinornis robustus,MNZ S28225,265,87,101,,38,522,122,71,,35,258,,33
Dinornithiformes,Dinornis robustus,MNZ S28381,286,89,105,,41,553,,70,,28,,,
Dinornithiformes,Dinornis robustus,MNZ S32715,274,92,99.7,,39,516,110,71.4,,38,265,,33.5
Dinornithiformes,Dinornis robustus,MNZ S32716,305,110.5,125.2,,46.2,609,151,87.5,,47.8,315,,41
Dinornithiformes,Dinornis robustus,Hodge Ck,307,109.7,116.6,,43.8,600,0.38,78.5,,47.6,319,,39.3
Dinornithiformes,Dinornis robustus,OM Av7343,309,109,122,,49,582,152,77,,46,295,,42
Dinornithiformes,Dinornis robustus,MNZ S32667,309,115,131,,50.3,611,153.5,97.2,,48.4,338,,43
Dinornithiformes,Dinornis robustus,MNZ S23342,331,112,135,,51,667,155,93,,50,358,,44
Dinornithiformes,Dinornis robustus,MNZ S211,296,103,123,,48,605,140,81,,45,304,,39
Dinornithiformes,Dinornis robustus,MNZ S23654,303,104,125,,49,631,146,82,,46,322,,42
Dinornithiformes,Dinornis robustus,AIM352,295,121,128,,51,605,136,86,,48,315,,38
Dinornithiformes,Dinornis robustus,MNZ S25765,334,118,141,,51,663,162,99,,49,358,,48
Dinornithiformes,Dinornis robustus,WO30.41,315,113.2,131.6,,48.3,685,152,91.1,,50.6,365,,44.7
Dinornithiformes,Dinornis robustus,In situ,300,100,117.9,,47.1,642,140.5,84.8,,46.5,325,,43.8
Dinornithiformes,Dinornis robustus,MNZ S32677,337,121,133,,57,660,162,100,,52,364,,47
Dinornithiformes,Dinornis robustus," Hochstetter, Wien",335,125,130,,59,680,155,102,,51.5,365,,48
Dinornithiformes,Dinornis robustus,York,356,110,145,,54.8,684,172.3,108,,56.4,383,,48.8
Dinornithiformes,Pachyornis elephantopus,Av8382,300,111,144,,51,535,162,97,,50,222,,53
Dinornithiformes,Pachyornis elephantopus,Av8381,308,117,139,,49,564,165,97,,55,221,,56
Dinornithiformes,Pachyornis elephantopus,Av8389,315,115,140,,47,532,160,98,,49,216,,58
Dinornithiformes,Pachyornis elephantopus,Av8387,320,116,146,,49,592,165,100,,51,240,,59
Dinornithiformes,Pachyornis elephantopus,Av8385,298,96,130,,44,506,144,87,,46,206,,55
Dinornithiformes,Pachyornis elephantopus,Av8388,310,112,138,,47,553,155,93,,47,217,,52
Dinornithiformes,Pachyornis elephantopus,Av8386,292,103,127,,48,537,145,89,,45,212,,58
Dinornithiformes,Pachyornis elephantopus,Av15029,315,127,145,,48,568,165,96,,58,232,,70
Dinornithiformes,Pachyornis elephantopus,Av8383,298,114,145,,48,530,173,101,,53,224,,60
Dinornithiformes,Pachyornis elephantopus,Av8716,307,109,138,,49,547,159,96,,50,220,,61
Dinornithiformes,Pachyornis elephantopus,Av8348,294,113,144,,52,547,156,97,,57,225,,55
Aepyornithiformes,Aepyornis hildebrandti,Hansford & Turvey 2018,258.4,135.04,127.04,54.05,63.71,,,,,,310.24,25.4,54.71
Aepyornithiformes,Aepyornis maximus,Hansford & Turvey 2018,338.89,183.22,185.78,67.91,89.5,614.2,152.7,117.99,46.63,46.4,399.75,32.51,74.08
Aepyornithiformes,Mullerornis modestus,Hansford & Turvey 2018,205,93.25,95.71,33.23,41.35,475.2,95.23,76.18,22.99,29.99,306.85,17.84,26.75
Dromornithidae,Illbandornis lawsoni,Worthy & Yates 2015,266.5,105.5,114,,44.5,505,108,70.8,,38.2,421.8,,28.4
Dromornithidae,Illbandornis woodburnei,Worthy & Yates 2015,299.2,114.2,120,,53,508.6,106,78.2,,39.4,349.9,,34.1
Dromornithidae,Dromornis stirtoni,Handley et al. 2016,365,163,198,,,736,224,153,,,412,,
Dromornithidae,Genyornis newtoni,SAMA P.53833,268,165,126.2,46.4,84.4,528,,75.3,40.2,47.7,,,
Dromornithidae,Genyornis newtoni,SAMA P.59517,345,145.6,156,49.2,69.3,534,123.5,83.6,36.4,49.9,,,
Dromornithidae,Genyornis newtoni,SAMA P.59516,304,172,161,46.4,74.6,,,81.3,39.4,49.3,,,
Dromornithidae,Genyornis newtoni,FU2763,324,163,135.8,53.1,67.9,,,,,,352,31.5,38.9
Dromornithidae,Genyornis newtoni,SAMA P.59518,,,,,,521,,,,,346,30.6,42.8
Dromornithidae,Genyornis newtoni,SAMA P.59519,312,144,147.5,32.4,80.5,547,116.5,,46.1,53,353,48.7,10.5
