"order","species","specimen.no.","fL","fPW","fDW","fCr.Ca","fM.L","tbL","tbPW","tbDW","tbCr.Ca","tbM.L","tmtL","tmtD.P","tmtM.L","fCIRC","tbCIRC","fCSA","tbCSA"
"Casuariiformes","Dromaius novaehollandiae","B12823",2.47576777882175,-0.628388165069993,0.992118595849392,-1.36263702131549,0.319399237979545,1.25266382084407,1.01070649161748,-0.968895376903385,0.00690199640804025,-1.54635815846387,2.94043806209213,-1.56759037856964,-0.168409015899697,NA,NA,NA,NA
"Casuariiformes","Dromaius novaehollandiae","B12543",2.54779360685818,-0.647008274542833,1.14395493608738,-1.2853913696928,0.517556222315811,1.27545021347743,1.12067725121804,-0.941334889713282,0.168421370650367,-1.47085264649143,3.07329364155343,-1.69399619780564,8.6055831152233e-05,NA,NA,NA,NA
"Anseriformes","Anseranas semipalmata","B8864",1.38585804807305,-1.49581769736742,-0.261559112426272,-2.49022620850553,-1.16184950295399,0.597971292720558,-0.392329343609466,-1.89551910075883,-1.31600018278124,-2.42960158668909,1.56194905511636,-2.77790828095731,-1.16184950295399,NA,NA,NA,NA
"Anseriformes","Anseranas semipalmata","B6361",1.20806228929229,-1.55790207916659,-0.495472946520924,-2.36738825181069,-1.25761299856782,0.504046305065726,-0.60083346217875,-1.87491176671289,-1.44566523007076,-2.52153893163795,1.26582731522242,-2.75994995508294,-1.27200173601992,NA,NA,NA,NA
"Anseriformes","Anseranas semipalmata","B8865",1.36456630389853,-1.48186731003058,-0.368902889455895,-2.37765952035639,-1.22910415467901,0.674425689748729,-0.513484118267003,-1.82427428217161,-1.35831588615901,-2.34908614791234,1.48498836087917,-2.5864143342185,-1.14209277768938,-1.20459425349353,-0.0328886331495341,-0.744448470588553,0.301880695017192
"Anseriformes","Anseranas semipalmata","B18360",1.21238745705837,-1.37933938689806,-0.506075135850847,-2.23905976728382,-1.33456366428055,0.628839134760283,-0.605825538617906,-1.74588907875655,-1.39428289898218,-2.37259115990835,1.28462892430826,-2.63210235539343,-1.33456366428055,NA,NA,NA,NA
"Anseriformes","Anseranas semipalmata","B20343",1.20127122456148,-1.53966682903676,-0.410544810277586,-2.38123401471498,-1.37562570632117,0.568803299576885,-0.651706867094474,-1.86244022129981,-1.32981617028988,-2.52433485835565,1.31137108558321,-2.70973808168701,-1.34485404765442,-1.31836405136704,-0.255884056478544,-0.837935904785421,0.124973426078777
"Anseriformes","Anseranas semipalmata","B34094",1.50076930171146,-1.27193396266365,-0.191708697935151,-2.21420018094107,-0.922127273292327,0.781532092612921,-0.261137204366913,-1.63227863549135,-1.08688250636838,-2.20112809937372,1.64379532025576,-2.41779913618231,-1.05746862116209,-1.00996425334036,0.117836288294275,-0.437687941133709,0.654630514943018
"Anseriformes","Anseranas semipalmata","B8863",1.36549605730059,0.0751707154544816,-0.3279652334032,-0.875199330072536,-1.16706632658623,2.14685025179883,-0.391681047789308,-0.38866639887559,-1.32121700641348,-0.916021324592791,1.53237549997938,-1.1673357528737,-1.11149647543141,NA,NA,NA,NA
"Anseriformes","Anseranas semipalmata","B12464",1.45807069281338,-0.0743268525450372,-0.131416433201367,-0.849538986159287,-1.01432014904279,1.9952173871786,-0.291759083276547,-0.461773455150523,-1.23002872186948,-0.990617584419192,1.54024250222994,-1.22902860786419,-1.04462549853811,NA,NA,NA,NA
"Anseriformes","Anseranas semipalmata","B13074",1.36243009594932,-0.180829347362265,-0.305808074249315,-1.05871063112155,-1.16729056962847,1.84446130154158,-0.334381446693371,-0.513693642607279,-1.2726510852863,-1.13393405235914,1.50685807979805,-1.42161612481092,-1.02752862725332,NA,NA,NA,NA
"Anseriformes","Anseranas semipalmata","B18366",0.254634259869474,-0.0604102622045138,-1.37426620163954,-0.999230107138697,-2.25089167712126,1.93583798685444,-1.51027795932239,-0.485876037019348,-2.29345129154006,-1.09201184058966,0.407812649877793,-1.13457145500846,-2.21006968260101,NA,NA,NA,NA
"Galliformes","Alectura lathami","B23648",0.181772920892138,0.0787935339660781,-1.37882301255866,-0.759535656438365,-2.11972462441451,1.92604168881179,-1.44855635057334,-0.456349397450619,-2.48263011810388,-0.94185721323232,0.269237586498387,-1.41186084247806,-2.35105376031516,0.409457428991544,-1.20561017196295,1.2784326370349,-0.684898931791313
"Galliformes","Alectura lathami","B11471",-0.29339713519475,-0.0206474131365037,-1.86717859640949,-0.768946413771529,-2.56599151450511,1.8062594438572,-2.01944780813704,-0.547866846678171,-2.93245446481001,-1.01292405198858,-0.280598822051441,-1.58245727658135,-2.88444524562365,NA,NA,NA,NA
"Galliformes","Alectura lathami","B23650",-0.241336046013687,0.025449814517916,-1.88838121037747,-0.720619767496372,-2.50656535246396,1.91532713970449,-1.98249450194795,-0.497476216182162,-3.01739097622995,-0.993913102496053,-0.216277787280325,-1.77667244174569,-2.92883757888851,NA,NA,NA,NA
"Galliformes","Alectura lathami","B19290",-0.194255162092256,0.0980922344726368,-1.80369307452636,-0.753803335163196,-2.51881916180508,1.94053319017684,-1.85384285821183,-0.42659042395478,-2.90775496796203,-0.92969400162686,-0.161114769589952,-1.54873321003308,-2.79912112695924,0.350527339351908,-1.52803957794018,1.17943080554691,-1.09597860102772
"Galliformes","Alectura lathami","R4288",-0.207899190239225,0.177767233068605,-1.83564671486866,-0.682011288542208,-2.56194610274551,2.08160876371481,-1.89729087797987,-0.340840531139441,-2.87619520258201,-0.836161968369466,-0.129910968228964,-1.30105049694843,-2.80208723042829,0.501197987409504,-1.61860872111694,1.23216029026796,-1.05911792536967
"Galliformes","Alectura lathami","B23649",0.0937713439267042,-0.0579601571850322,-1.51331085481494,-0.794124722828668,-2.16047292213306,1.8705054842787,-1.56770492688074,-0.534299604879854,-2.62375760113005,-1.02831811032946,0.138735690444381,-1.72146529088941,-2.60605802403065,0.367307578219312,-1.30773243585672,1.21769663117619,-0.933727681365646
